предложить дт| предложить  Вам
вычислить вн| вычислили планету
вычислить дт| вычислили планету
полниться рд| планета  полнилась
озлобить тв| озлобленными  людьми
скрашивать дт| скрашивали им
скрашивать рд| скрашивали им
скрашивать тв| скрашивали им
приколотить тв| после  того, как одного человека приколотили гвоздями к  дереву
сделать тв| сделать обителью
прочить дт| прочим предметам
прочим дт| прочим предметам
собираться дт| собираюсь вам
выведен тв| крупными  буквами  выведены
быть дт| Артуру было столько
лить тв| ночью лил
обойти вн| обошел  комнату
отразить тв| отразило  второй
отразить вн| отразило щетину
заметить рд| тут  заметил  в  зеркале  какое-
бить тв| неоднократно битый жизнью
убрать рд| до конца дня убрать с дороги дом
смять вн| смяв  свою  меховую шапку
возить тв| возя ею
потрясти тв| угрожающе потряс пальцем, потом
отвести вн| отвел руку
мчаться дт| одним  индивидам  мчаться сломя
побрать рд| черт побери
скрещенный тв| скрещенными  топорами  над  входной  дверью (его жена, разумеется, отдавала  предпочтение  вьющимся  розам,  но  мистер Проссер настаивал на топорах - почему - он не знал,  просто  топоры  ему нравились)
налиться тв| налился краской
проявлять вн| проявлял    вопиющую  некомпетентность
сказать тв| потом сказал
запереть пр1| На дне запертого
заколотить пр| заколоченном  туалете
подпереть вн| подперев голову
понравиться дт| Вам понравится
объять тв| объятых пламенем  развалин
притворяться тв| вполне  правдоподобно  притворялся безработным актером
впиться дт| вопьется вам
первый попавшийся тв| первым попавшимся астрофизиком до тех пор
вышвыривать рд| вышвыривали вон
овладевать тв| им овладевали
овладевать дт| им овладевали
овладевать рд| им овладевали
разражаться тв| разражался диким  хохотом
заплетаться тв| заплетающимся  языком
иметь рд| имеет  решающего значения
выспрашивать вн| выспрашивая дорогу на Бетельгейзе
отправиться дт| вам отправиться домой
путешествовать тв| путешествовать автостопом
надлежать дт| Артуру  надлежало
требовать вн| периодически требовать адвоката, маму или  хорошую  книжку
извлечь рд| дабы  извлечь  из  ситуации  наибольшую  материальную  выгоду
повернуть вн| повернул голову
ведать рд| ведают  сарказма
выразить рд| Форда выразило
хотеть дт| хочу ему
сообщить вн| сообщить самую важную вещь  в  твоей  жизни
играть вн| играть  в  одну  старинную  игру
помять вн| Помните  бессмертную  древнюю песню
помнить вн| Помните  бессмертную  древнюю песню
наливаться тв| свинцом наливается
загораться тв| огнем загорается
пытаться тв| пытаются усилием воли
наклонить вн| наклонить бутылку
ставить вн| Потом ставят новую бутылку
улыбнуться тв| потом  улыбнулся
схватить вн| одновременно,  потом  схватил  свою  меховую шапку
оставаться дт| Ему  оставалось
стоить дт| Стоило мистеру
стоять дт| Стоило мистеру
сделать рд| сделал несколько неуверенных шажков
лечь дт| Дай  человеку лечь
дать дт| Дай  человеку
махнуть дт| махнул мистеру Проссеру
совершить вн| Совершил посадку
принести тв| принесло им
принести дт| принесло им
принести рд| принесло им
лучить рд1| по тонкому лучу света
воспользоваться тв| воспользуетесь отчетом  последней  Всегалактической  переписи
съесть вн| съела кучу
сообщить дт| сообщила никому
отправлен рд| от греха подальше  отправлены в мусорную корзину
окутать тв| окутанный  симпатичным  радужным облаком
появиться рд1| света появилась
помахать тв| неуклюже помахал  рукой
руководствоваться тв| руководствуясь  внезапным  наитием
владеть тв| владеет  центаврийской  азбукой:  "БЕСПОШЛИННО.  МЕГАМАРКЕТ.  ПОРТ  БРАСТА,   АЛЬФА  ЦЕНТАВРА. БУДЬ, КАК ДВАДЦАТЬ ВТОРОЙ СЛОН С  РАЗДУТОЙ  ЭКОНОМОСТОИМОСТЬЮ  В  КОСМОСЕ - ГАВ!"     -
подождать тв| центаврийской  азбукой:  "БЕСПОШЛИННО.  МЕГАМАРКЕТ.  ПОРТ  БРАСТА,   АЛЬФА  ЦЕНТАВРА. БУДЬ, КАК ДВАДЦАТЬ ВТОРОЙ СЛОН С  РАЗДУТОЙ  ЭКОНОМОСТОИМОСТЬЮ  В  КОСМОСЕ - ГАВ!"     - Подождите
всплеснуть тв| всплеснув руками
спустить рд| секунд спустя
вжимать вн| вжимал  голову  в  плечи  под  напором
направиться тв| ,  ускорив  шаг, направился прямиком к той точке на горизонте
осмотреть вн| осмотрел  преграду
сверкнуть тв| сверкнув фарами  сквозь  водяную  стену
обдать тв| обдало  водой
вымокнуть дт| насквозь вымокшему пришельцу за какую-
прочитать вн| долю секунды  прочитать  наклейку  на бампере
продолжить вн| продолжил беседу
промчаться тв| Роб  Маккенна, молнией промчавшись
написать вн| написавшего эту статью
дёргать вн| дергал свою многострадальную судьбу за хвост
освоить пр1| в одном уголке освоенной
вылетать тв| ласковым   мурлыканьем   вылетает   из   шахты    межзвездная  баллистическая ракета
барабанить тв| барабанила  пальцами по стойке
украшать тв| украшая ее цепочками вмятин
коснуться рд| легонько коснулся  плеча Форда Префекта
заставить рд| заставило Форда
крепиться тв| крепилась  суставами
завещать вн| неожиданно завещал  свою  руку  на нужды Академии медицины
прочуять вн| прочую чертовщину
распознавать рд| распознавать  с  первого  взгляда
ошарашить тв| несколько ошарашенным видом
изобрести тв| изобретенный человеком
рвать рд| Форда  рвал
рвать дт| рвал  бармену
затрещать рд| Форда  затрещали
обучаться дт| обучалась  болевым  приемам
перепихнуть вн| перепихнул карточку через стойку к Форду
приобрести вн| за серьезной ошибки компьютера Форд приобрел кредитную карточку
хранить вн| бережно хранил кредитную карточку  "Америкэн  экспресс"
обвести тв| обвел взглядом
служить рд| служащих  фирм
прорезать вн| прорезали кромешную тьму бара
прорезать тв| порой прорезали кромешную тьму бара
прервать рд| нити прерванных разговоров о контрактах  на  убийства,  поставки  наркотиков
растерять вн| растерять аппетит и жажду
взять вн| взял бумажку
царапать тв| царапала когтями
выдуть вн| выдул целую реку всякой бодрящей фигни с пузырьками
случиться рд| счета случился
положить вн| положил  левую  ладонь  на  свой полурасстегнутый
нарушить рд| нарушил  законов
ослабить вн| медленно ослабила хватку
пересохнуть тв| пересохшими  губами
проводить вн| проводит ревизию и обновление
провозить вн| проводит ревизию и обновление  информации
захотеться рд| им  захочется
захотеться тв| им  захочется
захотеться дт| им  захочется
водить вн| водить машину
показывать дт| показывать его людям
превосходить рд| замечательных  жизнетворных  питательных  веществ  превосходит
почувствовать тв| почувствовал собственными ногами
уничтожить вн| Землю уничтожили окончательно  и  бесповоротно
приносить вн| Рону                                  Приношу глубокую  благодарность
становиться тв| становятся  причиной  других  случайностей
подчиняться дт| подчиняются собственным законам
населять вн| Поэтому  населяющие  Галактику  расы
позаботиться тв| позаботились веками
пролететь рд| пролетели  пол-Галактики
покинуть тв| Покинутая  командой
оставлен тв| оставлена командой
выйти рд| 16 октября  вышла  из Бостона, направляясь в Лисабон
пропускать вн| пропускал воду
пропускать дт| пропускал воду
благоприятствовать дт| благоприятствовала плаванию  бригантины
привести вн| привести следующую деталь: на швейной машине лежала катушка шелковых  ниток, которая даже при небольшой качке, конечно, скатилась бы на пол.     Все лодки оказались целыми и висели на своих местах, на шлюп-балках,  а  груз - свечное сало и американские часы - сохранился в неприкосновенности.  На баке, среди различного хлама, обнаружен старинный меч искусной  работы.  На его стальном клинке виднеются какие-то продольные полосы, словно меч не  так давно вытирали. Оружие было доставлено в полицию, которая передала его  для  исследования  доктору  Монегену.  Результаты  исследования  пока   не  известны.     В заключение  отметим,  что,  по  мнению  капитана  "Божьей  благодати"  Дальтона - опытного и сведущего моряка, -
тереть вн| три  пассажира,  в  том  числе
разгадать вн| разгадать эту  тайну
удаться дт| удалось  никому
выступить пр| долгом выступить с этим сообщением
знать вн| знали мою безупречную честность
противоречить дт| противоречить  сумасшедшему
деть дт| дело  забвению
тереть рд| три факта
выпускать рд1| выпускаемого пара
испытывать вн| испытывал странную грусть
быть пр| море было
проклясть рд| проклятого корабля
щёлкнуть тв| щелкнув крышкой своего  хронометра
послышаться рд| с капитанского мостика послышался
вспенивать вн| вспенивая  воду
вспенивать дт| вспенивая  воду
мыть пр| моем маленьком антропологическом  музее
моем пр| моем маленьком антропологическом  музее
представлять тв| представлявших собой
обогнуть вн| обогнул эту груду
назвать тв| назвали  Мюллером
затянуться тв| и несколько  раз подряд яростно затянулся сигарой
поглощён тв| так поглощены  своим  делом
стоять тв| Стоило  им
стоить тв| Стоило  им
стоить рд| Стоило  им
овладеть тв| мною овладело
обить тв| обитый медью
припасть тв| припал глазом  к отверстию
произнести тв| зловещим смехом  произнес
рассмеяться тв| вновь рассмеялись холодным, резким смехом
оковать тв| окованный  медью
вывести вн| меня вывел голос нашего милейшего
обладать тв| обладал  достаточным  мужеством
улечься пр1| улегся на дне
попадать рд| моего  зрения попадала
подслушать тв| подслушанный мною
проанализировать вн| проанализировал различные факты, из  которых
избежать рд| избежав осмотра  багажа  в  таможне
применять вн| применяли заговорщическую тактику
соединяться рд| недостатка соединяются
отличаться тв| при этом отличались  мужеством
выступить тв| выступить доносчиком в очной  ставке
мыть зв| Боже мой
рассказать дт| рассказать ему
подсказать тв| здравым  смыслом подскажет
хотеть вн| Хочешь сигару
собрать тв| собранных  мною
жертвовать тв| жертвовать своей жизнью
показаться тв| показаться торпедой
выкурить вн| уже выкурил сигару
распить вн| разопьем бутылочку красного вина
наблюдать тв| ними наблюдают
толкнуть тв| толкнул Дика  локтем
увенчаться тв| увенчались успехом
восхищаться тв| восхищаться  самообладанием,  с
скрывать вн| скрывая   свою   страшную   тайну
истерзать тв| истерзанное бурей
различать вн| изредка  различал зеленоватую полоску
переломиться пр| переломилась футах
терять вн| на своем барке  не раз теряли надежду
увидеть вн| вновь увидеть землю
пережить вн| пережить  эту бурю
пожертвовать дт| пожертвовали урагану
ослепить тв| ослепленному  молнией
записать рд| волнений  записал  в  свой   дневник  следующие строки:     "Солнечная  система,  среди  других   бесчисленных   обширных   систем,  совершает  в  безмолвном  пространстве  свой  вечный  путь   к   созвездию  Геркулеса.  Безостановочно  и  бесшумно  вращаются,  кружатся  в  извечной  пустоте гигантские шары, из которых она состоит. В этой системе  одним  из  самых маленьких  и  незначительных  шаров  является  скопление  твердых  и  жидких, частиц, которое мы называем Землей. Вращаясь, она несется  вперед,  как неслась до моего рождения и как будет нестись  после  моей  смерти,  -  кружащаяся тайна, неведомо откуда пришедшая и неведомо куда убегающая.  На  поверхности этой движущейся массы копошатся бесчисленные  микроскопические  существа, и одно из них - это я, Джон Мак-Витти, беспомощный,  бессильный,  бесцельно увлекаемый в пространстве. И, однако, наша жизнь такова,  что  я  вынужден отдавать труду все свои слабые силы  и  проблески  разума,  чтобы  получать за это известные металлические кружки, покупать на них химические  элементы для питания моих  постоянно  разрушающихся  тканей  и  иметь  над  головой крышу для защиты от непогоды. Поэтому у меня не  остается  времени  для  размышления  над  мировыми  вопросами,  с  которыми  мне   приходится  сталкиваться на каждом шагу. Но при всем своем ничтожестве по  временам  я  все еще в состоянии чувствовать себя до известной  степени  счастливым,  а  иногда даже  -  как  ни  странно!  -  упиваться  сознанием  значительности  собственной персоны"
вызван тв| вызваны минутными
преходить тв| преходящими  эмоциями
возбудить рд| возбудили   судебного  преследования
прокоптить тв| прокопченным городишком
обрести вн| обрести покой и подходящую обстановку для  научных  занятий
уединить рд| уединенных  размышлений
стоять пр| участке  стоял
обнажить рд| обнаженных  холма
уединить пр| в своем  уединенном  кабинете  в  Мэнси
основан рд| Дальтона основана на недоразумении
занят тв| занят  своими  дистилляциями  и  анализами
подавать рд| часов  подавала
обнаруживать рд| золота обнаруживают
получить вн| получил широкую известность
закончиться тв| за испанское наследство закончилась Утрехтским  миром
позволять дт| позволяла ему
прикреплять рд| корабля прикрепляли  блоки  и  тали
кружить вн| кружили  голову
греметь тв| гремя саблями
отрубить вн| отрубил голову
закопать вн| закопать свою долю
награбить рд| награбленного добра
обеспечивать тв| обеспечивали его провизией
жить тв| жило надеждой
раздробить дт| раздробили ему
охотиться тв| матросами  охотился
питать вн| из  них  питали непримиримую, кровавую вражду к Шарки
свихнуться дт| тому назад  свихнувшийся с пути истинного
доказывать тв| своими дурными делами доказывал
унаследовать тв| унаследованной  им
унаследовать дт| унаследованной  им
предаваться дт| предавался  пороку
дать вн| дал  взятку
доставить дт| с ним доставят вам
искупить тв| желанием искупить  свое  прошлое
пылать тв| в самом деле пылает желанием
принадлежать дт| принадлежал мистеру Кодрингтону и был
попасть дт| попадет нам
закрасить вн| закрашу полосу на "Белой розе" и во всем
подогнать пр| остальном подгоню  ее
показаться дт| губернатору показалось
прийти тв| им пришли
прийти дт| им пришли
писать рд| писали  мемуаров
оставить рд| оставили  никаких  следов
запятнать тв| запятнанных кровью
окутывать вн| окутывающую их завесу
состоять тв| состоял членом городского совета
приходиться тв| приходился  двоюродным  братом
погибнуть тв| погибла ужасной смертью
услыхать вн| Услыхав эту горестную весть, Копли Бэнкс
пыхтеть тв| пыхтел своей трубкой
пошатнуть пр| горе пошатнуло его
возить вн| теперь водил  дружбу
гореть дт| горящему кораблю
зарезать рд| зарезанной  им  овцы
подтверждаться тв| подтверждались моряками  торгового  судна
заключить дт| заключенного инспектору
рассказать вн| рассказал эту свою историю
докладывать дт| судьям докладывал все, как
видеть тв| своими глазами видел
разузнать тв| стороной разузнать
исправлен тв| умением  исправлена
предложить рд| ничего предложить
гнить пр| вине  гниет в тюрьме
уважить вн| уважите мою  просьбу
не говорите рд| ничего не говорю
доложить дт| доложу вам
избегать рд| избегать глухих мест по пути
доставать вн| очень  трудно  доставать работу
закрывать вн| закрывать торговлю
звать тв| Алленом его звали
течь рд| текущие счета
позвать рд| Тут позвала
сбит тв| Сбит человек с ног  потоком
нести тв| несет его водою
выплыть дт| выплыть ему
оказаться рд| парка оказались
оказаться рд1| парка оказались
усыпать тв| усыпанной песком площадки перед  крыльцом
зазвонить тв| зазвонила своей цепью
наметить дт| намеченному окну
взяться рд| злого умысла возьмешься за дверную ручку, а дверь-
отодвинуть тв| легко отодвинул ножом
приоткрыть вн| Приоткрыв раму
толкнуть вн| толкнул  ставню
толкнуть дт| толкнул  ставню
распахнуться тв| распахнувшейся ставней
зажечь тв| зажженной восковой  свечкой  в  руке
отпирать вн| отпирал  задвижку
засверкать тв| засверкав своими черными глазами
поверить дт| что  поверить  им
поверить тв| что  поверить  им
поверить рд| что  поверить  им
отплатить дт| отплатить своему мужу
хотеться дт| хотелось  по  самому  больному  месту
осветить тв| освещенное восковой свечечкой
дойти рд| дошли до конца комнаты
обвешан тв| обвешана занавесками с картинами
помешать дт| помешать ему
соблазнять тв| соблазняя  деньгами
попасться дт| самому попасться
переменить тв| Мигом переменила
начать рд| начнете  с этого конца
ломать рд| ломать  замков
раскрасить вн| раскрашенную  занавеску на стене
увидеть тв| Потом увидел
откинуть вн| откинул голову
забыть рд| забыла еще своей науки
протянуть вн| с женской хитростью протянула свою свечу
взять тв| рукой взяла
клясться дт| клянусь вам
поставить вн| поставил  свечу  на  угол стола
называть тв| называл Эдуардом
хлестать тв| плетью хлестали
отвечать дт| ему  отвечала
смолкнуть тв| потом смолкла
видать дт| веку видать
видеть пр1| доме видел
надевать вн| на шею надевает
просверлить вн| голову  так  и  просверлило
замелькать тв| Мигом  замелькали
поднять вн| подняла руку:       "Не трогайте его! Закон и без нас его накажет"
ударить тв| дважды  ударил  мужа  ножом
убит тв| убит своей женой
предан дт| вам предан
деть пр| простое дело
распоряжаться тв| распоряжается деньгами
осознать вн| осознать всю ошибочность
присылать вн| присылали связку
снимать вн| снимал квартиру в Гроувнор-мэншенс
чувствовать вн| Остро чувствовать нищету
насытить тв| насыщенных  всевозможными приключениями
отправиться тв| вечером того же дня отправился в Клиптон-
отправиться рд| вечером того же дня отправился в Клиптон-
забросить рд| заброшенного  полустанка
порасти тв| поросших  травой   холмов
расхваливать вн| всю дорогу  расхваливал
выходить дт| словам  выходило
жалеть рд| жалел денег
миновать рд| Когда  мы  миновали  ворота
греть рд| ворота  Грей-
выглядеть тв| выглядел  настоящим плантатором
дорожить тв| слишком дорожил знакомством с  богатым родственником
ответить тв| ответить  взаимностью на безграничное расположение
сообщать дт| сообщать  ему
наслаждаться тв| потом  наслаждались  гаванскими  сигарами  и  кофе, собранным
клокотать рд| клокочущего темперамента
покинуть вн| ненадолго  покинул комнату
злоупотреблять тв| что  я  злоупотребляю его радушием
понять рд| наших  лиц  понял
ошибиться тв| ошиблись номером
потерпеть рд| потерплю этого
послать вн| минуту  пошлите  за  управляющим  вашей  бездарной телефонной лавочки
быть зв| передо мной был разъяренный  лев
платить дт| этим  негодяям  деньги  платят
излагать вн| излагал  им  свою  вполне справедливую жалобу
излагать тв| излагал  им
излагать дт| излагал  им
излагать рд| излагал  им
докучать рд| дабы докучать
довершить рд| довершить бедствия  злополучного  утра
извлечь вн| наконец  извлекли  оттуда  газетную вырезку
обратить вн| обратило  зиму в лето
мыть тв| Дорогой мой
зачитать дт| зачитать  вам
прочесть дт| прочту вам
изобрести вн| изобрел  машину
дезинтегрировать тв| дезинтегрировать любой
надлежать рд| социального  и  политического  свойства надлежит
составить рд| составит труда
получить тв| полученные мною
ограничить тв| ограниченными способностями
лишён рд| лишены природного  ума
блестеть пр| блестящих  цилиндрах
недоделать вн| недоделанную клецку
упустить вн| упустило  свою  империю
винить дт| винить вам
назначить тв| назначенную мною
защищён пр| защищен кое-
содержать тв| со всем его содержимым
исказиться пр| лице исказилась
обсуждать вн| обсуждать  саму  проблему
представить дт| представить  нам
приложить вн| Приложите  эту  силу  в  большем  масштабе
увидеть дт| нам увидеть
испытать вн| испытаете  ее  работу
предоставить дт| что предоставлю вам
проявить вн| полную возможность проявить
мочь рд| нашего  тела  может  рассеять
разрывать рд| разрывающая сила
сказать дт| сказать вам
воссоздавать вн| вновь  воссоздают  структуру
смениться тв| вскоре сменятся совсем иными чувствами
помочь дт| поможет вам
уразуметь вн| уразуметь  мою  идею
предстоять дт| нам  предстоит
свисать рд| свисавшими  с  потолка  в  виде  гирлянд
находиться рд1| сбоку  находился своего рода
пронумеровать тв| пронумерованными  прорезями
покрыть тв| покрытой  резиною
бросить дт| брошенный  его  достоинству
гарантировать вн| гарантировать  вашу  безопасность
привлечь рд| этого  субъекта  привлекут  к  ответственности  за  человекоубийство
дрожать тв| под локоть дрожащей рукой
предлагать вн| ему предлагали кафедру в университете
предлагать дт| ему предлагали
бросить вн| вдруг  бросил и ботанику, и зоологию
погрузиться тв| со  всей  страстью  ученого  погрузился  в  изучение химии
избран тв| избран членом Королевского общества
рассказывать дт| вам рассказываю
волновать рд| что  так  волновало этого
заявить дт| заявить  читателям
хотеть рд| с  самого  начала  хочу  заявить  читателям
вызывать рд| вызывать сомнений
найден рд| Армстронга были найдены в поле
показать дт| показал  его  доктору  Дж
передать дт| передать  специалистам для изучения
мешать дт| мешает пониманию
отсутствовать пр| отсутствующих начальных страницах
дать рд| этих качеств дало
испытать рд| испытать  несколько  новых  авиационных  приборов
нацарапан тв| нацарапаны  карандашом
набросать тв| торопливо  набросанное авиатором
лететь пр| летящем  аэроплане
есть рд| блокнота есть несколько пятен
вооружать тв| вооружает  своими знаниями наших исследователей
считать вн| считал   привычку
достигать рд| достигали куда более значительных высот
использоваться тв| лошадиными  силами использовался для любой цели, возможности  полетов  были
испытывать рд| испытывая неприятных  ощущений
случиться дт| ему случится
наслать вн| его  машину  нашли неподалеку от Байонны, а бот сам
набрать вн| набравшая  огромную  высоту
вздёрнуться тв| рывками  вздернулась вертикально вверх
узнать рд| ничего  узнать
вдавить вн| в  состоянии  вдавить голову
меняться тв| меняется  изменением угла подъема плоскости крыльев
завести тв| Потом  завел
набирать вн| набирать высоту
